http://www.pitt.edu/obc/IDE_ARTICLES_12000070062	Apollo Infectious Disease Scenario	APOLLO:InfectiousDiseaseScenario-v4.01	APOLLO	infectious disease scenario	http://purl.obolibrary.org/obo/APOLLO_SV_00000184	The type delcaration of the InfectiousDiseaseScenario from the Apollo Data Types - v4.0.1	Apache License 2.0	4.0.1	Apollo Infectious Disease Scenario Format	
http://www.pitt.edu/obc/IDE_ARTICLES_12000070051	Epi-Data JSON	MIDAS-ISG:epi-data-json-v1.0	MIDAS-ISG	Epi-data output	null	Epi-Data JSON is the output format for storing query results from calls to the EpiData	MIT	1	Epi-Data JSON Format	Epi-data JSON
http://www.pitt.edu/obc/IDE_ARTICLES_12000070052	EpiCaseFormat	MIDAS-ISG:epi-case-format-v1.2	MIDAS-ISG	disease surveillance data	http://purl.obolibrary.org/obo/APOLLO_SV_00000554	This specification describes two tabular formats for representing count data for a location at a point in time.  The formats differ in that one represents locations as points using latitude and longitude, and the other format represents locations as polygons using an ID from the Apollo Location Service.	Creative Commons Attribution 3.0 United States	1.2	EpiCase Format	
https://biosharing.org/bsg-s000228	FASTA Sequence Format	BIOSHARING.ORG:bsg-s000228	biosharing.org	gene sequence data	null	FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes. The format also allows for sequence names and comments to precede the sequences.	No License Specified.	FASTA	FASTA Sequence Format	FASTA
http://www.pitt.edu/obc/IDE_ARTICLES_12000070053	Galapagos-CSV	MIDAS-ISG:galapagos-output-format-v2.0	MIDAS-ISG	disease transmission model output	null	This specification describes a tabular format in which output from a disease transmission model is represented.	Creative Commons Attribution 3.0 United States	2	Galapagos-CSV Format	
http://www.pitt.edu/obc/IDE_ARTICLES_12000070054	GeoJSON	IETF:rfc7946	IETF	location information	null	GeoJSON is a format for encoding a variety of geographic data structures.	Creative Commons Attribution 3.0 United States	RFC 7946	GeoJSON Format	GeoJSON
http://www.pitt.edu/obc/IDE_ARTICLES_12000070055	hladish dengue transmission model	MIDAS-ISG:hladish-dengue-model-v2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes four tabular formats named:  population-yucatan.txt locations-yucatan.txt immunity-yucatan.txt network-yucatan.txt	GNU General Public License	2	hladish dengue transmission model format	
https://biosharing.org/bsg-s000250	newick tree format	BIOSHARING.ORG:bsg-s000250	biosharing.org	mathematical tree	null	This specification describes how to represent a tree using nested parentheses.	No License Specified.		Newick tree Format	Newick tree format;Newick format (for the ML tree)
http://www.pitt.edu/obc/IDE_ARTICLES_12000070056	Omnivore-CSV	MIDAS-ISG:omnivore-output-format-v2.0	MIDAS-ISG	disease surveillance data	http://purl.obolibrary.org/obo/APOLLO_SV_00000554	This specification describes a tabular format for reporting case count data.  The data are coded using standard systems, including ISO 8106 for representing time, SNOMED for identifying diseases, and Apollo XSD for identifying locations, case types, and case count types.	Creative Commons Attribution 3.0 United States	2	Omnivore-CSV Format	
http://edamontology.org/format_1997	PHYLIP-format	UW-DGS-DB:phylip-format-v3.695	UW-DGS-DB	gene sequence data	null	This specification describes the PHYLIP format, a format used for most input and output files used by PHYLIP, the Phylogeny Inference Package.  PHYLIP is a package of programs for inferring phylogenies (evolutionary trees). It has been distributed since 1980, and has over 30,000 registered users, making it the most widely distributed package of phylogeny programs.		3.695	PHYLIP Format	PHYLIP format (sequences);PHYLIP
http://www.pitt.edu/obc/IDE_ARTICLES_12000070057	SPEW.CANADA	MIDAS-ISG:spew-canada-v1.2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes two tabular formats:  one for households and the other for persons.		1.2.0	SPEW.CANADA Format	SPEW.CANADA;SPEW.CANADA format
http://www.pitt.edu/obc/IDE_ARTICLES_12000070058	SPEW.IPUMS	MIDAS-ISG:spew-ipums-v1.2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes two tabular formats:  one for households and the other for persons.		1.2.0	SPEW.IPUMS Format	SPEW.IPUMS;SPEW.IPUMS format
http://www.pitt.edu/obc/IDE_ARTICLES_12000070059	SPEW.US	MIDAS-ISG:spew-us-v1.2.0	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes four tabular formats:  for representing households, persons, schools and workplaces.		1.2.0	SPEW.US Format	SPEW.US;SPEW.US format
http://www.pitt.edu/obc/IDE_ARTICLES_12000070060	Synthia	MIDAS-ISG:synthia-us-v2010	MIDAS-ISG	synthetic ecosystem data set	http://purl.obolibrary.org/obo/APOLLO_SV_00000528	This specification describes a tabular format that describes a nationwide synthetic population of households and persons called the 2010 U.S. Synthesized Population dataset, which was developed by RTI International. The synthetic population is a detailed, spatially-explicit representation of the socio-demographic distribution of the U.S. population in a microdata form. The data are distributed in a compressed file containing a series of ASCII files with comma separated value.	???	2010 U.S. Synthesized Population	Synthia Format	Synthetic population – Synthia.US;Synthia.US;Synthia;SYNTHIA format
http://www.pitt.edu/obc/IDE_ARTICLES_12000070061	Tycho dataset	Eventually, but not before May 15th there will be a biosharing id	biosharing.org	disease surveillance data	http://purl.obolibrary.org/obo/APOLLO_SV_00000554	XML format for Tycho v2.0 country-condition disease surveillance datasets	https://www.tycho.pitt.edu/legal/license_agreement.html	1	Tycho dataset Format	Tycho (XML)
