developer	bearer	legalpersonrole
codewriting	has active participant	developer
codewriting	has specified output	dtm
documentation	is about	dtm
codewriting	realizes	programminglanguage
doi	denotes	dtm
versionid	denotes	dtm
compiling	has specified input	dtm
compiling	has specified output	executable
executable	is realized by	webexecutionof
executable	is realized by	executionof
executable	is realized by	wsexecutionof
license	is part of	dtm
dataaboutpathogen	is part of	dtm
dataabouthost	is part of	dtm
dtm	is part of	sourcerepository
executionof	is part of	studyexecution
website	is about	dtm
compiling0	has specified input	dtm
compiling0	has specified output	executable0
compiling1	has specified input	dtm
compiling1	has specified output	executable1
compiling2	has specified input	dtm
compiling2	has specified output	executable2
