ID	OrganizationName	University/Institue/Hospital/Gov	School/College/Division	Department/Group/Program	Lab		OrganizationAbbreviation	OrganizationAddress	OrganizationCity	OrganizationAdmin1	OrganizationPostalCode	OrganizationCountry	OrganizationCoordinates	OrganizationPhone	OrganizationURL	OrganizationType	MemberOf	Email	TwitterHandle	TwitterHandle	GithubIdentifier	LinkedInURL	RecordUpdatedBy	RecordUpdatedEmail	RecordUpdatedDate	Original MemberOf	MemberOf with Org Name (sort with)		order
118	Anderson Lab	Scripps Research Institute	Department of Immunology and Microbiology		Anderson Lab			Scripps Research, Translational Institute, 10550 North Torrey Pines Road, SGM-300A	La Jolla	California	92037	United States			https://andersen-lab.com/	Institute	Scripps Research Institute, Department of Immunology and Microbiology	info@andersen-lab.com									Scripps Research Institute, Department of Immunology and Microbiology, Anderson Lab		1
36	Anita Lab	Emory University														Lab	Emory University										Emory University, Anita Lab		2
57	Bansal Lab	Georgetown University		Department of Biology	Bansal Lab			Regents 561, 37th St NW and O St NW	Washington	District of Columbia	20057	United States			http://bansallab.com/	Lab	Georgetown University, Department of Biology	shweta.bansal@georgetown.edu	@bansallab							Department of Biology at Georgetown University	Georgetown University, Department of Biology, Bansal Lab	Shewta Bansal	3
46	Bedford Lab	Fred Hutchinson Cancer Research Center			Bedford Lab			Fred Hutch, Hutchinson Building, Room C2-205, 1100 Fairview Ave N	Seattle	WA	98109	United States		+1 206 667 6372	https://bedford.io/	Lab	Fred Hutchinson Cancer Research Center									Fred Hutchinson Research Center	Fred Hutchinson Cancer Research Center, Bedford Lab		4
171	Bellan Lab	University of Georgia	College of Public Health	Epidemiology and Biostatistics	Bellan Lab			B.S. Miller Hall, Health Sciences Campas, University of Georgia, 101 Buck Road	Athens	Georgia	30602	United States		+1 706 542 5770	http://bellanlab.uga.edu/	Lab	University of Georgia, College of Public Health, Epidemiology and Biostatistics	steve.bellan@uga.edu								Epidemiology and Biostatistics, University of Georgia, College of Public Health	University of Georgia, College of Public Health, Epidemiology and Biostatistics, Bellan Lab	Steven Bellan	5
213	Big Data Institute	University of Oxford			Big Data Institute		BDI	Old Road Campus	Oxford		OX3 7LF	United Kingdom		+44(0)1865 287770	https://www.bdi.ox.ac.uk/	Institute	University of Oxford	enquiries@ndph.ox.ac.uk	@bdi_oxford							University of Oxford	University of Oxford, Big Data Institute	Christophe Fraser	6
1	Binghamton University															University											Binghamton University		7
12	Biochemistry Department	Brandeis University		Biochemistry Department				415 South Street	Waltham	Massachusetts	02453	United States		+1 781 736 2000	http://www.brandeis.edu/departments/biochemistry/index.html	Department	Brandeis University									Brandeis University	Brandeis University, Biochemistry Department	Tijana Ivanovic	8
236	Biocomplexity Institue and Initiative	University of Virginia		Biocomplexity Institue and Initiative				University of Virginia, P.O. Box 400298	Charlottesville	Virginia	22904-4298	United States			https://biocomplexity.virginia.edu/	Institute	University of Virginia									University of Virginia	University of Virginia, Biocomplexity Institue and Initiative	Stephen Eubank, Madhav Marathe	9
156	Biological Sciences Division	University of Chicago	Biological Sciences Division					5841 S. Maryland Ave.	Chicago	Illinois	60637	United States			http://biologicalsciences.uchicago.edu/	Division	University of Chicago		@ScienceLife			https://www.linkedin.com/company/university-of-chicago-medicine/				University of Chicago	University of Chicago, Biological Sciences Division	Sarah Cobey	10
